token	count_read_file	count_grep_search	log_lift_toward_read_file_positive
FLAG:last_pair:edit_file>grep_search|top:grep_search	35	0	4.7646
FLAG:recent_action:write_file|pair:read_file>list_directory	0	78	-4.5543
FLAG:recent_action:read_file|pair:grep_search>list_directory	28	0	4.5450
FLAG:last_pair:edit_file>grep_search|pair:grep_search>read_file	28	0	4.5450
FLAG:last_pair:read_file>run_bash|top:grep_search	22	0	4.3086
FLAG:recent_action:plan_task|pair:grep_search>list_directory	21	0	4.2632
FLAG:last_pair:read_file>run_bash|pair:grep_search>read_file	21	0	4.2632
FLAG:recent_action:list_directory|pair:grep_search>list_directory	19	0	4.1655
FLAG:recent_action:edit_file|pair:grep_search>glob_pattern	19	0	4.1655
FLAG:last_pair:edit_file>read_file|top:grep_search	19	0	4.1655
FLAG:last_pair:edit_file>read_file|pair:grep_search>read_file	19	0	4.1655
FLAG:last_pair:edit_file>read_file	19	0	4.1655
FLAG:base_top:list_directory	0	44	-3.9867
FLAG:last_pair:read_file>list_directory|top:grep_search	15	0	3.9360
FLAG:last_pair:read_file>list_directory|pair:grep_search>read_file	15	0	3.9360
FLAG:recent_action:grep_search|pair:grep_search>list_directory	14	0	3.8693
FLAG:last_action:run_bash|pair:read_file>list_directory	0	37	-3.8155
FLAG:base_pair:list_directory>read_file	0	37	-3.8155
FLAG:prompt_prompt_len_m|pair:grep_search>glob_pattern	13	0	3.7978
FLAG:last_pair:read_file>ask_user|top:grep_search	13	0	3.7978
FLAG:last_pair:read_file>ask_user	13	0	3.7978
FLAG:last_pair:read_file>apply_patch|top:grep_search	13	0	3.7978
FLAG:prompt_intent_read|pair:read_file>list_directory	1	101	-3.7126
FLAG:last_pair:list_directory>grep_search|top:read_file	0	32	-3.6724
FLAG:last_pair:list_directory>grep_search	0	32	-3.6724
FLAG:last_action:write_file|pair:read_file>list_directory	0	32	-3.6724
FLAG:last_pair:edit_file>grep_search	35	1	3.6660
FLAG:recent_action:edit_file|top:list_directory	0	31	-3.6412
FLAG:top_lang:py|pair:grep_search>glob_pattern	11	0	3.6375
FLAG:last_pair:read_file>apply_patch|pair:grep_search>read_file	11	0	3.6375
FLAG:recent_action:run_bash|pair:read_file>list_directory	1	88	-3.5756
FLAG:recent_action:grep_search|pair:read_file>list_directory	0	29	-3.5756
FLAG:prompt_read_words|pair:read_file>list_directory	1	87	-3.5642
FLAG:prompt_search_words|pair:grep_search>glob_pattern	10	0	3.5465
FLAG:last_pair:read_file>plan_task|top:grep_search	10	0	3.5465
FLAG:last_pair:read_file>ask_user|pair:grep_search>read_file	10	0	3.5465
FLAG:last_pair:read_file>edit_file|top:grep_search	30	1	3.5142
FLAG:top_lang:go|pair:read_file>list_directory	0	26	-3.4683
FLAG:recent_action:edit_file|pair:list_directory>read_file	0	26	-3.4683
FLAG:recent_action:grep_search|pair:grep_search>glob_pattern	9	0	3.4464
FLAG:last_pair:read_file>plan_task|pair:grep_search>read_file	9	0	3.4464
FLAG:last_action:list_directory|pair:grep_search>list_directory	9	0	3.4464
FLAG:last_action:grep_search|pair:grep_search>list_directory	9	0	3.4464
FLAG:last_action:ask_user|pair:grep_search>list_directory	9	0	3.4464
FLAG:top_lang:java|pair:read_file>list_directory	0	25	-3.4299
FLAG:last_pair:list_directory>read_file|top:read_file	0	25	-3.4299
FLAG:last_pair:read_file>edit_file|pair:grep_search>read_file	27	1	3.4107
FLAG:prompt_intent_run_tests|pair:read_file>list_directory	0	24	-3.3899
FLAG:base_pair:grep_search>glob_pattern	26	1	3.3736
FLAG:last_action:edit_file|pair:read_file>list_directory	0	23	-3.3482
FLAG:prompt_intent_read|pair:grep_search>list_directory	25	1	3.3352
FLAG:top_lang:ts|pair:grep_search>list_directory	8	0	3.3352
FLAG:top_lang:rs|pair:grep_search>list_directory	8	0	3.3352
FLAG:recent_action:edit_file|pair:read_file>glob_pattern	0	22	-3.3047
FLAG:prompt_prompt_len_m|top:list_directory	0	22	-3.3047
FLAG:last_action:grep_search|pair:read_file>list_directory	0	22	-3.3047
FLAG:prompt_arg_has_path|pair:grep_search>list_directory	24	1	3.2952
FLAG:top_lang:py|top:list_directory	0	21	-3.2592
FLAG:prompt_intent_run_bash|pair:read_file>list_directory	0	21	-3.2592
FLAG:prompt_prompt_len_s|pair:grep_search>list_directory	38	2	3.2363
FLAG:prompt_prompt_len_s|top:list_directory	0	20	-3.2116
FLAG:prompt_prompt_len_m|pair:list_directory>read_file	0	20	-3.2116
FLAG:last_action:ask_user|pair:read_file>list_directory	0	20	-3.2116
FLAG:last_pair:read_file>glob_pattern|top:grep_search	22	1	3.2100
FLAG:last_pair:read_file>glob_pattern|pair:grep_search>read_file	22	1	3.2100
FLAG:last_pair:list_directory>read_file|pair:read_file>grep_search	0	19	-3.1616
FLAG:recent_action:apply_patch|pair:grep_search>list_directory	20	1	3.1169
FLAG:prompt_read_words|pair:grep_search>list_directory	20	1	3.1169
FLAG:recent_action:lint_or_typecheck|pair:read_file>list_directory	0	18	-3.1090
FLAG:last_pair:list_directory>grep_search|pair:read_file>grep_search	0	18	-3.1090
FLAG:last_pair:read_file>read_file|top:grep_search	18	1	3.0143
FLAG:top_lang:py|pair:list_directory>read_file	0	16	-2.9945
FLAG:recent_action:run_tests|pair:read_file>glob_pattern	0	16	-2.9945
FLAG:recent_action:run_bash|top:list_directory	0	16	-2.9945
FLAG:recent_action:read_file|pair:read_file>list_directory	0	16	-2.9945
FLAG:prompt_intent_read|top:list_directory	0	16	-2.9945
FLAG:last_pair:run_tests>grep_search|top:read_file	0	16	-2.9945
FLAG:last_pair:run_tests>grep_search	0	16	-2.9945
FLAG:last_pair:run_bash>grep_search|top:read_file	0	16	-2.9945
FLAG:last_pair:run_bash>grep_search	0	16	-2.9945
FLAG:last_pair:glob_pattern>run_bash|top:read_file	0	16	-2.9945
FLAG:recent_action:ask_user|pair:grep_search>list_directory	17	1	2.9587
FLAG:top_lang:py|pair:read_file>list_directory	4	142	-2.9533
FLAG:recent_action:run_tests|top:list_directory	0	15	-2.9320
FLAG:prompt_read_words|top:list_directory	0	15	-2.9320
FLAG:prompt_prompt_len_s|pair:list_directory>read_file	0	15	-2.9320
FLAG:prompt_prompt_has_question|top:list_directory	0	15	-2.9320
FLAG:prompt_arg_ext:py|pair:read_file>list_directory	0	15	-2.9320
FLAG:last_pair:glob_pattern>run_bash|pair:read_file>grep_search	0	15	-2.9320
FLAG:last_action:edit_file|top:list_directory	0	15	-2.9320
FLAG:recent_action:edit_file|pair:grep_search>list_directory	39	3	2.9255
FLAG:prompt_prompt_len_s|pair:read_file>list_directory	5	160	-2.8716
sanity	0	14	-2.8653
FLAG:prompt_read_words|pair:list_directory>read_file	0	14	-2.8653
FLAG:prompt_intent_read|pair:list_directory>read_file	0	14	-2.8653
FLAG:last_action:edit_file|pair:list_directory>read_file	0	14	-2.8653
FLAG:last_pair:read_file>list_directory	15	1	2.8373
FLAG:recent_action:web_search|pair:read_file>list_directory	0	13	-2.7939
FLAG:recent_action:run_bash|pair:list_directory>read_file	0	13	-2.7939
FLAG:prompt_test_words|pair:read_file>list_directory	0	13	-2.7939
FLAG:prompt_list_words|pair:read_file>list_directory	0	13	-2.7939
FLAG:prompt_has_question|top:list_directory	0	13	-2.7939
FLAG:prompt_arg_has_path|top:list_directory	0	13	-2.7939
FLAG:last_pair:run_tests>grep_search|pair:read_file>grep_search	0	13	-2.7939
