token	count_glob_pattern	count_read_file	log_lift_toward_glob_pattern_positive
FLAG:last_action:read_file|pair:read_file>grep_search	31	0	3.8642
FLAG:prompt_search_words|pair:glob_pattern>list_directory	0	13	-3.5748
FLAG:recent_action:apply_patch|pair:glob_pattern>list_directory	0	9	-3.2234
FLAG:last_pair:grep_search>edit_file|pair:glob_pattern>list_directory	0	9	-3.2234
FLAG:recent_action:run_tests|pair:glob_pattern>grep_search	0	8	-3.1122
FLAG:recent_action:grep_search|pair:read_file>list_directory	12	0	2.9399
FLAG:recent_action:read_file|pair:read_file>list_directory	11	0	2.8565
FLAG:last_pair:run_bash>run_bash|pair:read_file>list_directory	11	0	2.8565
FLAG:recent_action:edit_file|pair:glob_pattern>list_directory	1	19	-2.8439
수정해줘	9	0	2.6655
FLAG:last_pair:write_file>run_bash|pair:read_file>list_directory	9	0	2.6655
FLAG:last_pair:list_directory>read_file|pair:read_file>grep_search	9	0	2.6655
FLAG:last_pair:list_directory>grep_search|pair:read_file>grep_search	9	0	2.6655
FLAG:last_pair:glob_pattern>read_file|top:read_file	9	0	2.6655
FLAG:last_pair:glob_pattern>read_file|pair:read_file>grep_search	9	0	2.6655
FLAG:last_action:write_file|pair:read_file>grep_search	9	0	2.6655
매핑	8	0	2.5543
떼서	8	0	2.5543
parseconfig	8	0	2.5543
FLAG:last_action:read_file|pair:read_file>list_directory	8	0	2.5543
FLAG:last_pair:grep_search>grep_search|pair:glob_pattern>list_directory	2	21	-2.4307
FLAG:last_action:grep_search|pair:glob_pattern>list_directory	2	21	-2.4307
FLAG:recent_action:read_file|pair:read_file>grep_search	63	4	2.3680
FLAG:last_action:edit_file|pair:glob_pattern>list_directory	1	10	-2.2249
v	1	8	-2.0135
FLAG:last_pair:list_directory>read_file|top:read_file	14	1	1.9897
FLAG:last_pair:list_directory>read_file	14	1	1.9897
FLAG:last_action:read_file|top:read_file	41	4	1.9427
FLAG:recent_action:write_file|pair:read_file>glob_pattern	2	12	-1.8884
FLAG:last_pair:grep_search>glob_pattern|pair:glob_pattern>list_directory	2	12	-1.8884
FLAG:last_action:glob_pattern|pair:glob_pattern>list_directory	2	12	-1.8884
scoped	1	7	-1.8884
