token	count_glob_pattern	count_list_directory	log_lift_toward_glob_pattern_positive
ty	15	0	2.9279
FLAG:top_lang:rs|pair:list_directory>glob_pattern	1	14	-2.7748
key	12	0	2.7127
csv	12	0	2.7127
FLAG:prompt_intent_list|pair:list_directory>glob_pattern	1	13	-2.7034
받는지	11	0	2.6294
would	11	0	2.6294
FLAG:prompt_intent_edit|top:glob_pattern	11	0	2.6294
앱	10	0	2.5384
names	10	0	2.5384
job	10	0	2.5384
etl_users	10	0	2.5384
bet	10	0	2.5384
FLAG:prompt_intent_grep|pair:glob_pattern>list_directory	10	0	2.5384
부르네	9	0	2.4383
루트	9	0	2.4383
라이브러리	9	0	2.4383
home.tsx	9	0	2.4383
eyeball	9	0	2.4383
epoch	9	0	2.4383
broke	9	0	2.4383
제가	8	0	2.3271
잡는지	8	0	2.3271
라우트가	8	0	2.3271
src/store/	8	0	2.3271
host	8	0	2.3271
handle	8	0	2.3271
approach	8	0	2.3271
FLAG:prompt_intent_edit|pair:glob_pattern>list_directory	8	0	2.3271
FLAG:last_pair:glob_pattern>grep_search|top:glob_pattern	1	8	-2.2407
FLAG:last_pair:glob_pattern>grep_search	1	8	-2.2407
FLAG:last_pair:glob_pattern>glob_pattern|top:glob_pattern	1	7	-2.1156
FLAG:last_action:run_bash|pair:list_directory>glob_pattern	2	11	-2.0322
FLAG:prompt_list_words|pair:list_directory>glob_pattern	4	19	-1.9725
FLAG:recent_action:list_directory|pair:glob_pattern>list_directory	40	3	1.9424
FLAG:prompt_arg_ext:yml	15	1	1.8292
FLAG:last_pair:grep_search>read_file|pair:glob_pattern>list_directory	43	4	1.7625
FLAG:last_action:read_file|pair:glob_pattern>list_directory	43	4	1.7625
파일들이	14	1	1.7625
FLAG:last_action:ask_user|top:glob_pattern	23	2	1.7346
android	22	2	1.6911
FLAG:top_lang:tsx|pair:list_directory>glob_pattern	4	14	-1.6762
FLAG:recent_action:read_file|pair:glob_pattern>list_directory	206	23	1.6672
