token	count_list_directory	count_grep_search	log_lift_toward_list_directory_positive
FLAG:last_pair:read_file>grep_search|pair:grep_search>read_file	20	0	4.2791
FLAG:last_pair:read_file>read_file|pair:grep_search>read_file	13	0	3.8614
FLAG:last_pair:read_file>glob_pattern|top:grep_search	11	0	3.7011
FLAG:last_pair:read_file>glob_pattern|pair:grep_search>read_file	11	0	3.7011
FLAG:last_pair:read_file>glob_pattern	11	0	3.7011
terraform/	9	0	3.5100
FLAG:last_pair:edit_file>read_file|pair:grep_search>read_file	8	0	3.3988
FLAG:last_action:grep_search|pair:grep_search>read_file	51	4	3.0031
FLAG:recent_action:grep_search|pair:grep_search>read_file	99	9	2.9144
occurrences	56	5	2.8951
FLAG:last_pair:read_file>read_file|top:grep_search	19	2	2.6197
FLAG:last_pair:read_file>read_file	19	2	2.6197
FLAG:last_pair:read_file>edit_file|pair:grep_search>read_file	17	2	2.5115
FLAG:last_pair:edit_file>grep_search|pair:grep_search>read_file	10	1	2.5115
components/usercard.vue	0	10	-2.4790
FLAG:recent_action:grep_search|pair:grep_search>glob_pattern	9	1	2.4114
FLAG:recent_action:read_file|pair:grep_search>read_file	148	24	2.3675
FLAG:recent_action:glob_pattern|pair:grep_search>glob_pattern	8	1	2.3002
하잖아	0	8	-2.2676
붙일	0	8	-2.2676
against	0	8	-2.2676
grep_search	127	24	2.2150
FLAG:recent_action:grep_search	127	24	2.2150
FLAG:last_action:read_file|pair:grep_search>read_file	38	7	2.2013
FLAG:recent_action:grep_search|top:grep_search	124	24	2.1912
하려고	7	1	2.1750
FLAG:last_pair:web_search>edit_file	7	1	2.1750
FLAG:last_action:grep_search	61	14	2.0105
FLAG:last_action:grep_search|top:grep_search	60	14	1.9941
usefetch	13	3	1.9155
matches	73	19	1.8924
src/	20	5	1.8812
FLAG:last_pair:read_file>grep_search|top:grep_search	22	6	1.8073
FLAG:last_pair:read_file>grep_search	22	6	1.8073
FLAG:last_pair:edit_file>grep_search|top:grep_search	15	4	1.8023
FLAG:last_pair:edit_file>grep_search	15	4	1.8023
로그아웃	8	2	1.7893
scripts/run_train.sh	8	2	1.7893
FLAG:recent_action:edit_file|pair:grep_search>glob_pattern	17	5	1.7230
defines:	44	14	1.6869
FLAG:last_action:read_file|top:grep_search	44	14	1.6869
FLAG:last_action:read_file	46	15	1.6642
FLAG:last_pair:read_file>edit_file|top:grep_search	22	7	1.6642
FLAG:last_pair:read_file>edit_file	22	7	1.6642
app/	10	3	1.6642
seeing	7	2	1.6642
replicas	7	2	1.6642
models/staging/stg_users.sql	7	2	1.6642
hitting	7	2	1.6642
FLAG:prompt_arg_has_path|pair:grep_search>glob_pattern	7	2	1.6642
받아서	1	13	-1.6317
FLAG:last_pair:plan_task>plan_task	1	13	-1.6317
file.	9	3	1.5641
통과하는지	1	12	-1.5547
FLAG:last_pair:plan_task>plan_task|top:list_directory	1	12	-1.5547
using	6	2	1.5211
scripts/	6	2	1.5211
reading	6	2	1.5211
handleclick	6	2	1.5211
go.sum	6	2	1.5211
github/workflows:	6	2	1.5211
everywhere.	6	2	1.5211
FLAG:last_pair:read_file>read_file|pair:grep_search>list_directory	6	2	1.5211
되네	11	4	1.5038
classes/functions:	38	15	1.4754
FLAG:last_pair:plan_task>plan_task|pair:list_directory>read_file	1	11	-1.4713
