token	count_list_directory	count_read_file	log_lift_toward_list_directory_positive
FLAG:recent_action:read_file|pair:read_file>grep_search	76	0	5.4306
FLAG:recent_action:grep_search|pair:read_file>grep_search	68	0	5.3202
FLAG:last_action:grep_search|pair:read_file>grep_search	44	0	4.8888
occurrences	43	0	4.8661
FLAG:last_action:read_file|pair:read_file>grep_search	42	0	4.8429
grep_search	104	1	4.6439
FLAG:recent_action:grep_search|top:read_file	104	1	4.6439
FLAG:recent_action:grep_search	104	1	4.6439
read_file	98	1	4.5848
FLAG:recent_action:read_file	98	1	4.5848
FLAG:recent_action:read_file|top:read_file	96	1	4.5643
FLAG:last_action:grep_search|top:read_file	70	1	4.2504
FLAG:last_action:grep_search	70	1	4.2504
l	60	1	4.0974
defines:	19	0	4.0638
FLAG:last_pair:list_directory>grep_search|top:read_file	19	0	4.0638
FLAG:last_pair:list_directory>grep_search	19	0	4.0638
FLAG:last_action:read_file	55	1	4.0111
FLAG:last_action:read_file|top:read_file	53	1	3.9744
classes/functions:	17	0	3.9556
FLAG:recent_action:grep_search|pair:read_file>glob_pattern	9	0	3.3446
FLAG:last_pair:run_bash>grep_search|pair:read_file>grep_search	9	0	3.3446
FLAG:last_pair:list_directory>grep_search|pair:read_file>grep_search	9	0	3.3446
FLAG:last_pair:glob_pattern>read_file|top:read_file	9	0	3.3446
FLAG:last_pair:glob_pattern>read_file|pair:read_file>grep_search	9	0	3.3446
FLAG:last_pair:glob_pattern>read_file	9	0	3.3446
FLAG:recent_action:grep_search|pair:read_file>list_directory	26	1	3.2719
FLAG:last_pair:run_tests>grep_search|top:read_file	8	0	3.2334
FLAG:last_pair:run_tests>grep_search	8	0	3.2334
matches	69	4	3.1375
FLAG:top_lang:java|pair:read_file>grep_search	20	1	3.0152
FLAG:recent_action:read_file|pair:read_file>list_directory	19	1	2.9652
FLAG:last_action:grep_search|pair:read_file>list_directory	19	1	2.9652
FLAG:last_pair:run_bash>grep_search|top:read_file	18	1	2.9125
FLAG:last_pair:run_bash>grep_search	18	1	2.9125
FLAG:prompt_prompt_len_l|pair:list_directory>grep_search	0	12	-2.8187
FLAG:top_lang:rs|pair:list_directory>grep_search	1	33	-2.7059
FLAG:last_pair:list_directory>read_file|top:read_file	14	1	2.6689
FLAG:last_pair:list_directory>read_file	14	1	2.6689
found	62	6	2.6636
FLAG:last_action:plan_task|pair:list_directory>grep_search	0	10	-2.6443
FLAG:last_pair:ask_user>list_directory|pair:read_file>grep_search	13	1	2.5974
usercontroller.java	0	9	-2.5442
days	0	9	-2.5442
눈으로	11	1	2.4371
FLAG:last_action:read_file|pair:read_file>list_directory	11	1	2.4371
FLAG:prompt_intent_run_tests|pair:list_directory>grep_search	1	23	-2.3513
옆에	9	1	2.2460
FLAG:last_pair:run_bash>grep_search|pair:read_file>list_directory	9	1	2.2460
흐름이	8	1	2.1348
정의부터	8	1	2.1348
FLAG:last_pair:list_directory>read_file|pair:read_file>list_directory	8	1	2.1348
FLAG:last_pair:plan_task>plan_task|top:list_directory	1	17	-2.0565
FLAG:last_action:lint_or_typecheck|pair:read_file>grep_search	17	3	2.0096
FLAG:prompt_prompt_len_xs|pair:read_file>grep_search	12	2	2.0096
기대하는데	7	1	2.0096
parser.go	7	1	2.0096
aliases	7	1	2.0096
FLAG:last_pair:run_tests>apply_patch|top:read_file	7	1	2.0096
FLAG:last_pair:run_tests>apply_patch	7	1	2.0096
FLAG:last_pair:list_directory>edit_file|top:read_file	7	1	2.0096
FLAG:last_action:web_search|pair:read_file>grep_search	7	1	2.0096
FLAG:top_lang:ts|pair:list_directory>glob_pattern	1	16	-1.9977
FLAG:last_pair:plan_task>plan_task|pair:list_directory>read_file	1	16	-1.9977
FLAG:recent_action:write_file|pair:read_file>grep_search	75	15	1.9835
방식으로	11	2	1.9263
src/screens/home.tsx	11	2	1.9263
FLAG:last_pair:edit_file>edit_file|pair:read_file>grep_search	11	2	1.9263
클래스	24	5	1.8941
FLAG:prompt_has_question|pair:list_directory>glob_pattern	2	24	-1.8822
FLAG:prompt_read_words|pair:read_file>grep_search	168	39	1.8508
스크립트에	10	2	1.8353
길이	10	2	1.8353
FLAG:last_pair:run_tests>edit_file|pair:read_file>grep_search	10	2	1.8353
FLAG:last_action:write_file|pair:read_file>grep_search	10	2	1.8353
vitest	13	3	1.7501
FLAG:prompt_arg_ext:tsx|pair:read_file>grep_search	13	3	1.7501
FLAG:recent_action:web_search|pair:read_file>grep_search	28	7	1.7352
쪽을	9	2	1.7352
FLAG:last_pair:write_file>run_bash|pair:read_file>grep_search	9	2	1.7352
FLAG:last_pair:write_file>edit_file|pair:read_file>grep_search	9	2	1.7352
FLAG:last_pair:lint_or_typecheck>edit_file|top:read_file	9	2	1.7352
FLAG:last_pair:lint_or_typecheck>edit_file	9	2	1.7352
wiring	1	12	-1.7201
FLAG:prompt_read_words|pair:list_directory>glob_pattern	1	12	-1.7201
FLAG:recent_action:glob_pattern|pair:read_file>grep_search	87	23	1.7148
FLAG:prompt_intent_read|pair:read_file>grep_search	194	52	1.7098
FLAG:last_pair:list_directory>glob_pattern|top:read_file	12	3	1.6732
FLAG:last_pair:list_directory>glob_pattern|pair:read_file>grep_search	12	3	1.6732
FLAG:last_pair:list_directory>glob_pattern	12	3	1.6732
FLAG:last_action:run_bash|pair:list_directory>grep_search	2	19	-1.6539
used	1	11	-1.6367
FLAG:last_action:ask_user|pair:list_directory>grep_search	1	11	-1.6367
FLAG:prompt_prompt_has_question|pair:list_directory>glob_pattern	3	26	-1.6242
작성해줘	8	2	1.6240
쓰게	8	2	1.6240
방법	8	2	1.6240
동시	8	2	1.6240
그런	8	2	1.6240
FLAG:last_pair:edit_file>list_directory|pair:read_file>grep_search	8	2	1.6240
FLAG:last_pair:apply_patch>run_tests	8	2	1.6240
FLAG:last_action:apply_patch|top:list_directory	2	18	-1.6013
추가해야	11	3	1.5898
깔끔할	11	3	1.5898
거라	11	3	1.5898
svg	11	3	1.5898
FLAG:last_action:glob_pattern|pair:read_file>grep_search	36	11	1.5552
FLAG:prompt_prompt_len_s|pair:read_file>grep_search	289	91	1.5520
FLAG:recent_action:glob_pattern|pair:list_directory>grep_search	5	38	-1.5457
FLAG:prompt_prompt_casual|pair:read_file>grep_search	23	7	1.5423
FLAG:recent_action:run_tests|pair:read_file>grep_search	70	22	1.5423
FLAG:recent_action:lint_or_typecheck|pair:read_file>grep_search	50	16	1.5188
FLAG:last_action:edit_file|pair:read_file>grep_search	59	19	1.5158
FLAG:recent_action:ask_user|pair:read_file>grep_search	76	25	1.4988
health	10	3	1.4988
dim_users.sql	10	3	1.4988
FLAG:last_action:web_search|top:read_file	10	3	1.4988
훑어봐	7	2	1.4988
콕	7	2	1.4988
연결	7	2	1.4988
비대해졌어	7	2	1.4988
