token	count_glob_pattern	count_grep_search	log_lift_toward_glob_pattern_positive
FLAG:last_pair:read_file>grep_search|pair:grep_search>read_file	21	0	3.7165
FLAG:last_pair:read_file>read_file|top:grep_search	14	0	3.3226
FLAG:last_pair:read_file>read_file	14	0	3.3226
notebook	12	0	3.1742
FLAG:last_pair:read_file>glob_pattern|pair:grep_search>read_file	12	0	3.1742
FLAG:last_pair:edit_file>grep_search|pair:grep_search>read_file	12	0	3.1742
FLAG:last_pair:read_file>apply_patch|top:grep_search	10	0	2.9998
FLAG:last_pair:read_file>apply_patch	10	0	2.9998
FLAG:last_pair:read_file>read_file|pair:grep_search>read_file	9	0	2.8997
FLAG:last_pair:grep_search>edit_file|pair:glob_pattern>list_directory	0	8	-2.8779
시그니처가	8	0	2.7885
payment	8	0	2.7885
FLAG:last_pair:read_file>apply_patch|pair:grep_search>read_file	8	0	2.7885
FLAG:recent_action:read_file|pair:grep_search>list_directory	17	1	2.4120
FLAG:last_pair:read_file>edit_file|pair:grep_search>read_file	14	1	2.2240
FLAG:recent_action:read_file|pair:grep_search>read_file	140	15	2.1597
FLAG:last_pair:read_file>glob_pattern|top:grep_search	13	1	2.1525
FLAG:last_pair:read_file>glob_pattern	13	1	2.1525
FLAG:prompt_intent_web|pair:glob_pattern>grep_search	11	1	1.9922
FLAG:prompt_intent_list|pair:glob_pattern>grep_search	10	1	1.9012
셀렉터	1	9	-1.8905
FLAG:last_action:edit_file|pair:glob_pattern>list_directory	1	9	-1.8905
진입점이	9	1	1.8011
누르면	9	1	1.8011
걸고	9	1	1.8011
fine	9	1	1.8011
components/header.tsx	9	1	1.8011
throw	1	8	-1.7793
large.yaml	1	8	-1.7793
FLAG:last_pair:grep_search>ask_user|pair:glob_pattern>read_file	1	8	-1.7793
FLAG:last_pair:edit_file>apply_patch|pair:grep_search>glob_pattern	2	13	-1.7311
FLAG:prompt_search_words|pair:grep_search>list_directory	4	23	-1.6976
없고	8	1	1.6899
무슨	8	1	1.6899
모르겠음	8	1	1.6899
choking	8	1	1.6899
backoff	8	1	1.6899
FLAG:prompt_intent_read|pair:grep_search>list_directory	8	1	1.6899
