token	count_run_bash	count_lint_or_typecheck	log_lift_toward_run_bash_positive
FLAG:last_pair:apply_patch>apply_patch|pair:lint_or_typecheck>run_bash	1	33	-3.1880
lives	0	10	-3.1264
components/	0	10	-3.1264
useeffect	0	8	-2.9151
FLAG:last_action:plan_task|pair:run_bash>lint_or_typecheck	28	1	2.8626
공식	8	0	2.7513
connection	8	0	2.7513
FLAG:prompt_intent_list|top:run_bash	16	1	2.3160
FLAG:prompt_intent_list|pair:run_bash>lint_or_typecheck	16	1	2.3160
broken	1	11	-2.1188
FLAG:last_pair:glob_pattern>run_bash|pair:run_bash>lint_or_typecheck	13	1	2.1153
against	2	17	-2.0278
헷갈리네	11	1	1.9550
FLAG:prompt_arg_ext:py|pair:run_bash>lint_or_typecheck	11	1	1.9550
userservice	1	9	-1.9277
folder	18	2	1.9196
FLAG:last_action:plan_task|top:run_bash	31	4	1.8640
데서	10	1	1.8640
FLAG:prompt_list_words|pair:run_bash>lint_or_typecheck	43	6	1.8191
호출하게	1	8	-1.8165
죽어	1	8	-1.8165
넘기게	1	8	-1.8165
title	1	8	-1.8165
dependency	1	8	-1.8165
초록불	9	1	1.7639
깔끔하겠다	9	1	1.7639
base.yaml	9	1	1.7639
FLAG:last_action:plan_task	33	5	1.7249
FLAG:prompt_list_words|top:run_bash	44	7	1.6987
register	2	12	-1.6913
확인하게	1	7	-1.6913
처리를	1	7	-1.6913
찍어봐	1	7	-1.6913
재현이	1	7	-1.6913
돌려줄래요	1	7	-1.6913
다크모드	1	7	-1.6913
works	1	7	-1.6913
usefeed	1	7	-1.6913
these	1	7	-1.6913
option	1	7	-1.6913
go.sum	1	7	-1.6913
doesnt	1	7	-1.6913
FLAG:last_pair:read_file>run_bash|pair:run_bash>lint_or_typecheck	14	2	1.6760
잡혀	8	1	1.6527
signature	8	1	1.6527
large	8	1	1.6527
FLAG:last_pair:glob_pattern>grep_search|pair:run_bash>lint_or_typecheck	8	1	1.6527
FLAG:last_pair:edit_file>apply_patch|pair:lint_or_typecheck>run_bash	9	45	-1.6483
들어있는지	2	11	-1.6079
use	13	2	1.6045
css	18	3	1.5831
FLAG:prompt_intent_ask|pair:run_bash>lint_or_typecheck	23	4	1.5710
메서드	3	15	-1.5700
추가	4	19	-1.5482
route	5	23	-1.5341
FLAG:last_pair:grep_search>read_file|pair:run_bash>lint_or_typecheck	12	2	1.5276
표준	7	1	1.5276
만한	7	1	1.5276
pool	7	1	1.5276
more	7	1	1.5276
FLAG:prompt_read_words|pair:run_bash>lint_or_typecheck	7	1	1.5276
FLAG:prompt_lint_words|pair:run_bash>run_tests	7	1	1.5276
스타일	2	10	-1.5170
띄우면	2	10	-1.5170
똑같이	2	10	-1.5170
logger	2	10	-1.5170
init	2	10	-1.5170
date	2	10	-1.5170
FLAG:prompt_has_question|pair:run_bash>lint_or_typecheck	26	5	1.4905
짜줘	21	4	1.4821
FLAG:last_pair:write_file>run_bash|pair:run_bash>lint_or_typecheck	21	4	1.4821
FLAG:last_pair:apply_patch>apply_patch|top:lint_or_typecheck	9	37	-1.4549
FLAG:last_pair:apply_patch>apply_patch	9	37	-1.4549
FLAG:last_action:apply_patch|pair:lint_or_typecheck>run_bash	37	145	-1.4377
FLAG:prompt_intent_read|pair:run_bash>lint_or_typecheck	65	14	1.4260
FLAG:last_pair:edit_file>lint_or_typecheck|pair:lint_or_typecheck>run_bash	8	32	-1.4231
stale	2	9	-1.4169
FLAG:last_pair:apply_patch>edit_file|top:lint_or_typecheck	2	9	-1.4169
FLAG:last_pair:apply_patch>edit_file	2	9	-1.4169
FLAG:prompt_intent_ask|top:run_bash	24	5	1.4120
stores	15	3	1.4062
FLAG:recent_action:plan_task|pair:run_bash>lint_or_typecheck	67	15	1.3894
FLAG:prompt_intent_read|pair:run_bash>run_tests	4	16	-1.3812
FLAG:prompt_lint_words|top:run_bash	49	11	1.3777
FLAG:prompt_intent_lint|pair:run_bash>lint_or_typecheck	128	30	1.3563
reproduce	3	12	-1.3548
FLAG:prompt_prompt_has_question|pair:run_bash>lint_or_typecheck	52	12	1.3532
d	10	2	1.3532
react	5	19	-1.3475
FLAG:prompt_lint_words|pair:lint_or_typecheck>run_bash	5	19	-1.3475
fine	14	3	1.3395
FLAG:last_pair:glob_pattern>run_bash	14	3	1.3395
FLAG:prompt_lint_words|pair:run_bash>lint_or_typecheck	42	10	1.3163
지우고	2	8	-1.3057
원하세요	2	8	-1.3057
바로잡아줘	2	8	-1.3057
바꾸길	2	8	-1.3057
subcommand	2	8	-1.3057
quickly	2	8	-1.3057
ldflags	2	8	-1.3057
im	2	8	-1.3057
host	2	8	-1.3057
FLAG:recent_action:write_file|pair:lint_or_typecheck>run_tests	2	8	-1.3057
FLAG:last_pair:run_tests>apply_patch|top:lint_or_typecheck	2	8	-1.3057
FLAG:last_pair:run_tests>apply_patch	2	8	-1.3057
FLAG:last_pair:apply_patch>edit_file|pair:lint_or_typecheck>run_bash	2	8	-1.3057
FLAG:last_action:grep_search|pair:run_bash>run_tests	2	8	-1.3057
